question;answer;tags
"What distinguishes supervised learning from unsupervised learning?";"Supervised learning trains on labeled examples with a target y. Unsupervised learning finds structure in unlabeled data, such as clusters, anomalies, or lower-dimensional representations.";ml basics
"What is the difference between batch learning and online learning?";"Batch learning is trained offline on a fixed dataset. Online or incremental learning updates the model from successive batches while retaining information from previous training.";ml basics
"What is data drift or model rot?";"It is performance degradation after deployment because the data distribution or the relationship between features and the target changes over time.";ml basics
"How do instance-based and model-based learning differ?";"Instance-based learning predicts from similar stored examples, such as k-nearest neighbors. Model-based learning fits a parameterized function that can generalize to new samples.";ml basics
"Why should the test set remain separate from hyperparameter selection?";"Using the test set to choose a model leaks evaluation information into development and produces an optimistically biased estimate of final generalization performance.";ml validation
"What is stratified sampling, and when is it useful?";"It splits data while preserving the proportion of a relevant category or class in each subset. It is especially useful when a category is rare or important to represent.";ml validation
"What does StandardScaler do?";"It subtracts each feature's training-set mean and divides by its training-set standard deviation, producing features with approximately zero mean and unit variance.";preprocessing basic
"How does MinMaxScaler differ from StandardScaler?";"MinMaxScaler shifts and rescales each feature to a chosen bounded range, commonly [0, 1]. StandardScaler centers and scales by standard deviation without bounding values.";preprocessing basic
"What does Normalizer scale, and how is that different from StandardScaler?";"Normalizer scales each individual sample row to unit norm. StandardScaler scales each feature column across samples.";preprocessing basic
"What is the purpose of SimpleImputer?";"It learns a per-column replacement statistic, such as the mean, median, most frequent value, or a constant, from the training data and uses it to replace missing values.";preprocessing basic
"When might KNNImputer be preferable to SimpleImputer?";"KNNImputer can be useful when samples with similar values on other features are likely to have similar missing values. Unlike SimpleImputer, it uses nearby samples rather than one column statistic.";preprocessing intermediate
"How does IterativeImputer estimate missing values?";"It models each feature with missing values as a function of the other features, repeatedly updating estimates in a round-robin procedure.";preprocessing intermediate
"Why must an imputer or scaler be fit only on the training data?";"Fitting it on validation or test data leaks information about those sets into training. The fitted training transformation must then be applied unchanged to validation, test, and production data.";preprocessing leakage
"What is the key difference between OrdinalEncoder and OneHotEncoder?";"OrdinalEncoder represents each category with one numeric code. OneHotEncoder creates one binary indicator per category, avoiding an artificial numeric ordering for nominal categories.";preprocessing encoding
"Why should preprocessing usually be included in a scikit-learn Pipeline?";"A Pipeline applies the same fitted transformations during each cross-validation fold and at prediction time, helping prevent leakage and ensuring reproducible preprocessing.";sklearn pipelines
"What problem does ColumnTransformer solve?";"It applies different transformations to selected subsets of columns, such as scaling numeric features and encoding categorical features, and combines their outputs.";sklearn pipelines
"What information does a confusion matrix summarize for binary classification?";"It counts true negatives, false positives, false negatives, and true positives by comparing predicted labels with actual labels.";metrics classification
"Define precision and recall.";"Precision is TP / (TP + FP), the fraction of predicted positives that are correct. Recall is TP / (TP + FN), the fraction of actual positives that are detected.";metrics classification
"When is a precision-recall curve generally more informative than an ROC curve?";"Prefer a precision-recall curve when the positive class is rare or when false positives are particularly costly, because it focuses on performance for the positive class.";metrics classification
"What is balanced accuracy, and why is it useful for imbalanced classification?";"It is the average recall across classes. It gives each class equal weight, so a majority-class predictor cannot look strong merely because the dataset is imbalanced.";metrics classification
"What is the difference between RMSE and MAE with respect to outliers?";"RMSE squares residuals before averaging, so large errors receive disproportionately more weight. MAE uses absolute residuals and is therefore less sensitive to outliers.";metrics regression
"What does a large gap between training and validation learning curves usually indicate?";"It usually indicates overfitting or high variance: the model fits the training data substantially better than unseen validation data.";ml diagnostics
"What is the bias-variance trade-off?";"More flexible models often reduce bias but increase variance, while simpler or more strongly regularized models often increase bias but reduce variance. Generalization balances both plus irreducible noise.";ml theory
"How do Ridge and Lasso regularization differ?";"Ridge adds an L2 penalty that shrinks coefficients. Lasso adds an L1 penalty and can set some coefficients exactly to zero, acting as feature selection.";linear-models regularization
"Why should features be scaled before regularized linear regression?";"The regularization penalty acts on coefficient magnitudes. Unequal feature scales make equally useful features receive unequal effective penalties.";linear-models regularization
"What does the C parameter mean in scikit-learn LogisticRegression?";"C is the inverse of regularization strength. Smaller C means stronger regularization, while larger C means weaker regularization.";sklearn logistic-regression
"Why can RandomizedSearchCV be more efficient than GridSearchCV in a large hyperparameter space?";"It evaluates a fixed number of sampled parameter combinations rather than every grid combination, allowing broader exploration when only some hyperparameters strongly affect performance.";model-selection tuning
"When should you use GroupKFold rather than ordinary KFold?";"Use GroupKFold when related samples must not appear in both training and validation folds, such as multiple records from the same user, patient, or device.";model-selection cross-validation
"Why is TimeSeriesSplit appropriate for temporal data?";"It preserves temporal order so validation examples occur after their training examples, avoiding future information leaking into the past.";model-selection cross-validation
"What prediction does a CART regression leaf make?";"It predicts the mean target value of the training samples that reach that leaf.";trees regression
"How is a candidate CART regression split evaluated?";"For each feature and threshold, CART computes the target MSE within the left and right child nodes and minimizes their sample-size-weighted average.";trees regression
"What are y and y-hat when computing a regression tree node's MSE?";"y_j is the observed target of sample j in the node. y-hat_i is the node prediction, equal to the mean of all y values in node i. The node MSE is the mean of (y_j - y-hat_i)^2.";trees regression
"What does Gini impurity measure in a classification tree?";"It measures class mixing in a node: G = 1 - sum_k p_k^2. It is zero for a pure node and larger when class proportions are more evenly mixed.";trees classification
"Why are decision trees prone to overfitting, and how can they be regularized?";"Greedy splitting can keep fitting small idiosyncratic groups. Limit complexity with settings such as max_depth, max_leaf_nodes, min_samples_leaf, or pruning.";trees regularization
"What is the difference between bagging and pasting?";"Both train estimators on subsets and aggregate predictions. Bagging samples training instances with replacement, while pasting samples without replacement.";ensembles bagging
"What are out-of-bag samples and how can they be used?";"In bootstrap bagging, each estimator leaves out roughly 37 percent of training examples. Those excluded examples can estimate validation performance without a separate validation set.";ensembles bagging
"How does a random forest add randomness beyond ordinary bagging?";"Besides bootstrapped samples, it considers only a random subset of features at each split. This decorrelates trees and typically reduces ensemble variance.";ensembles random-forest
"How does gradient boosting differ from AdaBoost?";"Gradient boosting adds learners that fit the residuals or negative loss gradients of the current ensemble. AdaBoost repeatedly increases the weight of examples misclassified by earlier learners.";ensembles boosting
"What is shrinkage in gradient boosting?";"Shrinkage uses a small learning_rate to scale each tree's contribution. It usually needs more trees but can improve generalization by regularizing the ensemble.";ensembles boosting
"How does histogram-based gradient boosting speed up split finding?";"It bins continuous feature values into a limited number of discrete bins and searches split candidates using aggregated bin statistics instead of every unique feature value.";ensembles histogram-gradient-boosting
"What is self-supervised learning?";"It creates a supervised-style learning signal from unlabeled data, for example by predicting masked or transformed parts of the input, then uses the learned representation for downstream tasks.";ml basics
"What does the no-free-lunch theorem imply for model selection?";"No algorithm is universally best over every possible problem. Model choice must depend on the data, objective, assumptions, and empirical validation.";ml theory
"Why can irrelevant features harm a model?";"They can add noise, increase variance, make optimization harder, and encourage the model to fit spurious patterns rather than signal.";ml features
"What does Pearson correlation measure, and what can it miss?";"Pearson's r measures the strength and direction of a linear association. It can be near zero even when variables have a strong nonlinear relationship.";statistics correlation
"What is a Gaussian radial basis function feature?";"It measures similarity to a reference point with exp(-gamma(x - c)^2). It is highest at c and decays as x moves away from c.";feature-engineering rbf
"Why does gradient descent benefit from similarly scaled features?";"Unequal feature scales make the loss surface elongated, causing inefficient zig-zag steps and slower convergence for one global learning rate.";optimization gradient-descent
"What is an epoch in gradient-descent training?";"An epoch is one complete pass through the training dataset.";optimization gradient-descent
"How do batch, stochastic, and mini-batch gradient descent differ?";"Batch gradient descent uses all training samples per update. Stochastic gradient descent uses one sample. Mini-batch gradient descent uses a small subset, balancing computational efficiency and stable updates.";optimization gradient-descent
"What is a learning-rate schedule in stochastic gradient descent?";"It is a rule that decreases the learning rate over training, allowing large early progress and smaller later updates that help the optimization settle near a minimum.";optimization stochastic-gradient-descent
"What is early stopping?";"It stops iterative training when validation performance no longer improves and retains the best observed model state. It acts as a form of regularization.";regularization early-stopping
"What is the normal equation for ordinary least-squares linear regression?";"When the inverse exists, the closed-form solution is theta-hat = (X^T X)^(-1) X^T y. In practice, numerical methods such as SVD-based pseudoinversion are often used.";linear-models least-squares
"Why is the normal equation often avoided when there are many features?";"Its matrix operations become expensive and memory-intensive as the number of features grows. Iterative optimizers scale more favorably for large problems.";linear-models optimization
"What is Elastic Net regularization?";"Elastic Net combines L1 and L2 penalties. It can select features like Lasso while remaining more stable when predictors are correlated or features outnumber samples.";linear-models regularization
"Why is the logistic-regression objective convex?";"For standard logistic regression with a linear predictor, the negative log-likelihood is convex in the coefficients. Therefore, optimization has no suboptimal local minima.";linear-models logistic-regression
"What is softmax regression?";"It extends logistic regression to multiclass classification by converting one score per class into probabilities that sum to one.";linear-models softmax
"What is the difference between one-versus-rest and one-versus-one multiclass classification?";"One-versus-rest trains one binary classifier per class against all others. One-versus-one trains one classifier per pair of classes and chooses the class winning the most pairwise comparisons.";classification multiclass
"Why can one-versus-one be useful for support vector machines?";"SVM training can scale poorly with the number of samples. One-versus-one trains many classifiers on smaller pairwise subsets, which can be faster.";classification svm
"What is multioutput classification?";"It predicts multiple target values for each input sample. For example, an image denoising model can predict every clean output pixel from a noisy image.";classification multioutput
"What is the central idea of a support vector machine?";"An SVM chooses a separating hyperplane with the largest margin between classes, using support vectors near the decision boundary to define that margin.";svm basics
"What is the hard-margin SVM constraint?";"For labels y_i in {-1, +1}, every training point must satisfy y_i(w^T x_i - b) >= 1. This enforces correct classification with a margin.";svm optimization
"What does hinge loss penalize in a soft-margin SVM?";"max(0, 1 - y_i f(x_i)) is zero for correctly classified points outside the margin and increases for margin violations or misclassifications.";svm optimization
"What is the kernel trick?";"It evaluates inner products in an implicit high-dimensional feature space using a kernel function on the original inputs, avoiding explicit feature expansion.";svm kernels
"What is the difference between Gini impurity and entropy in classification trees?";"Both measure node class mixing and are zero for pure nodes. They often yield similar trees, while Gini is generally faster to compute.";trees classification
"What is the greedy limitation of CART splitting?";"CART picks the best split at the current node without revisiting earlier decisions, so it does not guarantee a globally optimal tree.";trees cart
"What are random patches and random subspaces?";"Random patches sample both training instances and features for each learner. Random subspaces sample features only while using all training instances.";ensembles bagging
"How is the prediction weight of an AdaBoost learner related to its error?";"A learner with lower weighted classification error receives a larger weight, commonly proportional to log((1 - error) / error), possibly scaled by a learning rate.";ensembles adaboost
"What is stacking in an ensemble?";"Stacking trains a meta-model to combine predictions from base models. To avoid leakage, its training features should be out-of-fold or holdout predictions from the base models.";ensembles stacking
"What does PolynomialFeatures generate?";"It expands numeric features with powers and interactions up to a chosen degree, allowing a linear model to represent polynomial relationships.";feature-engineering polynomial
"What does KBinsDiscretizer do?";"It converts continuous features into discrete intervals and can output ordinal bin labels or one-hot encoded bins. Binning strategies include uniform-width and quantile bins.";preprocessing discretization
"What representation does CountVectorizer create for text?";"It tokenizes documents and creates a sparse bag-of-words or bag-of-n-grams count matrix, ignoring word order beyond any selected n-gram range.";nlp vectorization
"What does TF-IDF increase or decrease relative to raw word counts?";"It increases the weight of terms that are frequent in a document but rare across the corpus, while downweighting terms common in many documents.";nlp tfidf
"What is permutation importance?";"It measures a feature's importance by randomly shuffling that feature and observing the resulting degradation in a chosen model score, ideally on held-out data.";model-interpretability feature-importance
"How does permutation importance differ from impurity-based tree feature importance?";"Permutation importance measures the drop in model score after disrupting a feature. Impurity importance sums split-impurity reductions and can favor high-cardinality or otherwise frequently split features.";model-interpretability feature-importance
"What is the purpose of a DummyClassifier or DummyRegressor?";"It provides a simple baseline that ignores input features. A useful model should outperform an appropriate dummy strategy on the chosen evaluation metric.";model-selection baselines
"What does PCA optimize when reducing dimensionality?";"PCA finds orthogonal directions of maximum variance and projects data onto the leading components, retaining as much variance as possible in fewer dimensions.";dimensionality-reduction pca
"How can you choose the number of PCA components using explained variance?";"Choose the smallest number of leading components whose cumulative explained-variance ratio reaches a chosen threshold, such as 0.95, or tune the number within a predictive pipeline.";dimensionality-reduction pca
"How does locally linear embedding differ from PCA?";"PCA is a linear projection. Locally linear embedding is a nonlinear manifold method that seeks a low-dimensional representation preserving local neighbor relationships.";dimensionality-reduction lle
"What objective does k-means minimize?";"It minimizes inertia, the sum of squared distances from each sample to its closest cluster centroid.";clustering kmeans
"Why does k-means++ initialization improve on random centroid initialization?";"It selects initial centroids that tend to be far apart, making poor local minima less likely and typically improving convergence and final clustering quality.";clustering kmeans
"What is the difference between content-based and collaborative filtering?";"Content-based filtering recommends items similar to those a user liked using item attributes. Collaborative filtering uses patterns of interactions among users and items to find similar users or items.";recommendation systems
"What cold-start limitation does collaborative filtering have for new items?";"A new item with no interactions has no learned collaborative embedding, so the model cannot score it directly. Content features or a separate embedding model can mitigate this.";recommendation collaborative-filtering
"What does it mean for training data to be representative?";"Its feature and target distributions should adequately reflect the population and conditions in which the model will be evaluated or deployed.";ml data-quality
"What is sampling bias?";"It occurs when the mechanism selecting observations makes the sample systematically unrepresentative of the target population.";ml data-quality
"Why is a separate validation set useful during model development?";"It supports model and hyperparameter selection without consuming the final test set, which remains an unbiased final evaluation.";ml validation
"What can it mean if test error is lower than training error?";"A small gap can result from sampling variation or an easier test set. It can also arise from training-only regularization or augmentation. A large persistent gap warrants checks for leakage and inconsistent evaluation.";ml diagnostics
"Why does min-max scaling react strongly to outliers?";"An extreme value determines the observed range, compressing typical values into a narrow part of the scaled interval.";preprocessing scaling
"How does gamma affect a Gaussian RBF feature?";"A larger gamma makes similarity decay more quickly, creating a narrower local peak. A smaller gamma produces a broader similarity function.";feature-engineering rbf
"What does MultiLabelBinarizer transform?";"It transforms an iterable of label collections into a binary indicator matrix, with one column per possible label.";preprocessing multilabel
"What is the purpose of the max_df parameter in CountVectorizer?";"It excludes terms appearing in too high a fraction of documents, which can automatically remove corpus-specific stop words.";nlp vectorization
"What does the min_df parameter in CountVectorizer control?";"It excludes terms occurring in too few documents, reducing vocabulary size and removing very rare tokens.";nlp vectorization
"Why does TF-IDF commonly use IDF smoothing?";"Adding one to document counts avoids division by zero and keeps the inverse-document-frequency calculation numerically well-defined.";nlp tfidf
"How can OneHotEncoder handle categories not observed during fitting?";"Set handle_unknown='ignore' so an unseen category is encoded as all zeros for that feature instead of raising an error.";preprocessing encoding
"When is OrdinalEncoder a risky choice for a categorical feature?";"It is risky for nominal categories because arbitrary numeric codes can imply a false order or distance that some models may exploit.";preprocessing encoding
"What does remainder='passthrough' do in a ColumnTransformer?";"It retains columns not explicitly assigned to a transformer, passing them through unchanged in the output.";sklearn column-transformer
"How can you inspect feature names produced by a scikit-learn pipeline?";"Call get_feature_names_out() on a fitted transformer or pipeline. Use pipeline slicing, such as pipe[:-1], to inspect features before the final estimator.";sklearn pipelines
"What is FunctionTransformer useful for?";"It wraps a custom callable as a scikit-learn-compatible transformer so it can participate in pipelines and column transformations.";sklearn pipelines
"How do GridSearchCV and RandomizedSearchCV differ in search coverage?";"GridSearchCV evaluates every specified parameter combination. RandomizedSearchCV samples a fixed number of combinations from specified values or distributions.";model-selection tuning
"What extra information does cross_validate return beyond cross_val_score?";"It can compute multiple metrics and records fit and score times in addition to test scores.";model-selection cross-validation
"What is a validation curve used for?";"It compares training and cross-validation scores over a range of one hyperparameter, helping diagnose underfitting, overfitting, and a useful parameter range.";model-selection diagnostics
"How does StratifiedKFold differ from KFold?";"StratifiedKFold preserves class proportions approximately in each fold. KFold partitions samples without considering class labels.";model-selection cross-validation
"What does LeaveOneGroupOut evaluate?";"It trains on all groups except one and tests on the held-out group, repeating once per group. It assesses generalization to entirely unseen groups.";model-selection cross-validation
"Why use a negative error scorer such as neg_mean_absolute_error in scikit-learn?";"Scikit-learn's model-selection API maximizes scores. Negating an error lets lower error correspond to a higher score.";sklearn metrics
"What inputs does roc_curve require?";"It requires true binary labels and continuous decision scores or predicted probabilities, not only hard predicted labels. The positive label can be specified with pos_label.";metrics roc
"What does ROC AUC summarize?";"It summarizes ranking discrimination across all classification thresholds. It can be interpreted as the probability that a random positive receives a higher score than a random negative.";metrics roc
